categoria;categoria_id;codigo_barra;marca;marca_id;nombre;precio;precio_lista;producto_id;sku_id;stock;url
Tecnología;1;7791293038780;Dove;2000548;acondicionador DOVE REGENERACION EXTREMA 12 X 750ML;604.99;604.99;455983;10346;0;https://www.hiperlibertad.com.ar/acondicionador-dove-regeneracion-extrema-12-x-750ml/p
FREEZER;101;7791758120104;GAFA;2000128;FREEZER HORIZONTAL INVERTER GAFA BLANCO 402 LT;242199.0;242199.0;493067;35405;2;https://www.hiperlibertad.com.ar/fre-horiz-inver-gafa-bco-402lt/p
FREEZER;101;7891129217485;Eslabón de Lujo;2000119;FREEZER VERTICAL E. DE LUJO EVU22D1;219999.0;237999.0;189849;373;1;https://www.hiperlibertad.com.ar/freezer-eslabon-de-lujo-142-lts-evu22d1/p
FREEZER;101;7798003340515;Mir;2000012;FREEZER VERT 6220 GRIS HC A1;286999.0;286999.0;492436;35311;5;https://www.hiperlibertad.com.ar/freezer-vertical-briket-226-litros-5-cajones-220v-6220/p
FREEZER;101;7798003340508;BRIKET;2000133;FREEZER VERTICAL BRIKET 226 LITROS 5 CAJONES 220V 6200;278999.0;278999.0;492435;35279;1;https://www.hiperlibertad.com.ar/freezer-vertical-briket-226-litros-5-cajones-220v-6200/p
FREEZER;101;7798295540518;INELRO;2000130;FREEZER INELRO FIH 270 A++ INVERTER;167999.0;175999.0;485771;33289;1;https://www.hiperlibertad.com.ar/freezer-inelro-fih-270-a-inverter/p
FREEZER;101;7798295540532;INELRO;2000130;FREEZER INELRO FIH 350 INVERTER 280 Lts;191999.0;191999.0;482470;33089;1;https://www.hiperlibertad.com.ar/freezer-inelro-fih-350-inverter-280-lts/p
ASPIRADORAS;103;7798081286590;Smartlife;2000148;ASPIRADORA ROBOT SMART LIFE BARRE/ TRAPEA;99899.0;99899.0;497597;37829;2;https://www.hiperlibertad.com.ar/aspir-robot-smartlife-b-t/p
ASPIRADORAS;103;7798081286583;Smartlife;2000148;ASPIRADORA ROBOT BARREDORA SMART LIFE - SL-RVC240;83599.0;83599.0;497456;37826;2;https://www.hiperlibertad.com.ar/aspirador-robot-smartlif-barre/p
PLANCHAS;104;7798309360019;DAEWOO;2000123;Plancha seca Daewoo 1000W DI2316;10990.0;10990.0;433867;717;5;https://www.hiperlibertad.com.ar/plancha-seca-daewoo-1000w-di2316/p
CORTA CABELLOS;106;8023277145917;Ga.Ma;2000125;AFEITADORA DE PELO ELECTRICA CLIPPER GA.MA RACE R727;8719.0;8719.0;491639;35277;3;https://www.hiperlibertad.com.ar/afeitadora-de-pelo-electrica-clipper-ga-ma-race-r727/p
CORTA CABELLOS;106;8023277149106;Ga.Ma;2000125;CORTADORA DE PELO ELECTRICA GA.MA GM MASTER;7839.0;7839.0;491627;35363;2;https://www.hiperlibertad.com.ar/cortadora-de-pelo-electrica-ga-ma-gm-master/p
CORTA CABELLOS;106;8023277136090;Gama;2000121;PACK CORTADOR DE PELO GAMA GC542 + GT527 SPORT;18529.0;18529.0;472969;26107;2;https://www.hiperlibertad.com.ar/pack-cortador-de-pelo-gama-gc542-gt527-sport/p
